path,bytes,sha256
.gitignore,68,bf96f105b3e8a9c8e382546e7c9312e1eb9891cae7901a0e278ead58275ea46f
code/forecasting/forecast_paths.py,431,1b2821efba6da9e25ec1928d5fca87bd0c791c23178d5c7fdcedcf057bd21fba
code/forecasting/main.py,35231,7d32a6e3440ee7b57c37265f8dd11366ba24283464263dec5ce6a8207bbda6bd
code/forecasting/model.py,14687,6d7471aeba3dfe37330ec2b61a8792ff95356e05e4a181767c523fa2697f5122
code/forecasting/plot.py,30489,58b8ef28dd506ef52a74cc5b3ee8195041a0bf6030d379e0327716493e9b536b
code/forecasting/reviewed_protocol.py,22812,969b78cbd3913d561f918ca519b57f5e4713a61ba91e3e8c014bd18e4b426d07
code/forecasting/wind_main.py,36357,eac493ea1ecd31838eb6d60e432171974012762e225d3324b4a2486350211415
code/forecasting/wind_model.py,4525,0aaf31b670b82014420588b04d6409d4f2a7646f7f324d0cafc2560ba9f619b7
code/forecasting/wind_plot.py,40208,edef47b194f994fad63b9d985fd4e6c518db9ef62e8f8517906c12faadce7548
code/legacy/forecasting/eval_metrics.py,4224,727fe0bd31e6944cae129e4a0bc9e97e8f4f824fd1dbed8c4cb4835564f147ec
code/legacy/forecasting/gen_extreme_0miss.py,4923,c6d8ca0f5c6b5c443a6ab59743a4baade1de2967def30c9a91758be34b3846c0
code/legacy/forecasting/gen_sweep_inv3.py,5999,c6140dfbdf164756e10408ae36e7b076dbf00d6472a556dbe445a4570d811793
code/legacy/forecasting/retrain_pinn_inv3.py,16464,fee55f494262601702082a23ce2ac10cb9d475f3abaf686b3724615b5bc4057f
code/legacy/forecasting/retrain_pinn_multiseed.py,12592,63a40daf7f0b44fb5282e9dddb23ffc1680c4d93fcc49b0f8b6e6d9abf3acb50
code/legacy/forecasting/retrain_pinn_only.py,9082,faef7caa8962a0df4ad714bfb20cc0087693be6f78d7a25bcf0cea4fba5cd1c7
code/legacy/forecasting/wind_main.py,40784,17b8a8dc844c6068c603cef0276ef87c450dcc4c2338096a6228c1b0764d0bde
code/legacy/README.md,1070,fe095eb2c13578c6e36cd64a5027e4bb98f6db403078a7493de973040c590964
code/legacy/scheduling/manual_mix_project.py,7961,eae1cd42901207e5e3d7e1048370ab64d0b71ccdde1908398acf28a372c6ff18
code/legacy/scheduling/mix_project.py,14250,b82b810fba8cd26ae8dc9566630fbae5c1e306c72173ef1051d1bfb0b132c216
code/legacy/scheduling/run_validation_matrix.py,11883,72fccc6630e0ee7c7e985da772583a110026774fa41274e4b933892e5f55ee9f
code/preprocessing/idealize_flight_logs.py,17005,8d82acffbbd1bdfd9e601d26e90cbce909e0b79d8ac60275b078a20b568f452d
code/preprocessing/simulate_three_drone_same_soc.py,15641,04f111edca058647398122eda99c2e8872ce65ed3b975e9d5e492818c170f3e0
code/scheduling/__init__.py,22,324049e1637d119b670cd9a6dc10396b4f1351494904703ddb794a977e86c62f
code/scheduling/build_validation_group_panels.py,18757,a0152439f19d8a5390ae42cffa572bac56c883c4089cb57ca6af9ef9f3156f0e
code/scheduling/drone_profiles.py,3310,55baf467c1b3b7464cdd95b4462e68dbc15bf36c93a407beefaf28c77cf5004c
code/scheduling/energy.py,2302,0b98e1980bbd2787fe68f7eae8adc9370fd4f743dee8d7f61e50dc3be2cba011
code/scheduling/explore_paths.py,2730,849338023d11db5e0aa10dfb9d8c15e8ce06cb80aca4b8f25b6bcb7f0602fe46
code/scheduling/io_utils.py,16252,42955c57e9149d35a25c9c5ddc0232606097a8947f1bec4c1469c5bb0084a42b
code/scheduling/kinematics.py,514,f1291bd84f38d954153f912d9bc777d84f5cd6b521fd6a0fb3ee058fd35d2ac0
code/scheduling/planning.py,2293,dd4fe323ba9d0f0a53d48f77313230206027fa41242c7f0d329e73f6c37a6f1c
code/scheduling/plotting.py,11961,af419f85a98ebf5a9a1ed1e079557aefaabd165177c3b1c60a3486fb91714de5
code/scheduling/run_manual_validation_matrix.py,40683,a0b4b0e8c65c913c87cd50c6a4fe35bfa3cf0c1a3dd2299e2a6bebbf505be86c
code/scheduling/scenarios.py,41054,76980380c5496078d20d6b834d23383e63d4423770391f2ab69bb1775b4be4f3
code/scheduling/scheduling_paths.py,352,761089c7e7f0afb45e687be1ef27d9fc95effd498fd6dab9f71e94fc82fa24fb
code/scheduling/simulator.py,47498,b7fcdb300ee4ba4430600159da2bdceed94d603925c377aa3d055ec965994e09
